time,x,y
0.0042,0.332276,-0.879896
0.0084,0.332939,-0.877985
0.0126,0.333687,-0.875823
0.0168,0.334528,-0.873386
0.021,0.335468,-0.87065
0.0252,0.336516,-0.867592
0.0294,0.337678,-0.864186
0.0336,0.338961,-0.860408
0.0378,0.34037,-0.856235
0.042,0.341913,-0.851641
0.0462,0.343594,-0.846605
0.0504,0.345416,-0.841106
0.0546,0.347383,-0.835124
0.0588,0.349498,-0.828641
0.063,0.351759,-0.821644
0.0672,0.354167,-0.814119
0.0714,0.356719,-0.806058
0.0756,0.359412,-0.797455
0.0798,0.362239,-0.78831
0.084,0.365195,-0.778623
0.0882,0.368269,-0.768402
0.0924,0.371453,-0.757658
0.0966,0.374735,-0.746406
0.1008,0.378101,-0.734666
0.105,0.381538,-0.722464
0.1092,0.385031,-0.709827
0.1134,0.388565,-0.69679
0.1176,0.392123,-0.683389
0.1218,0.395689,-0.669665
0.126,0.399247,-0.655663
0.1302,0.402781,-0.641429
0.1344,0.406275,-0.627013
0.1386,0.409714,-0.612467
0.1428,0.413085,-0.597843
0.147,0.416374,-0.583195
0.1512,0.41957,-0.568576
0.1554,0.422662,-0.554039
0.1596,0.425642,-0.539638
0.1638,0.428502,-0.525421
0.168,0.431236,-0.511438
0.1722,0.43384,-0.497735
0.1764,0.436311,-0.484354
0.1806,0.438647,-0.471335
0.1848,0.440848,-0.458713
0.189,0.442914,-0.446519
0.1932,0.444848,-0.434782
0.1974,0.446652,-0.423524
0.2016,0.448331,-0.412764
0.2058,0.449887,-0.402515
0.21,0.451326,-0.392788
0.2142,0.452654,-0.383589
0.2184,0.453875,-0.374918
0.2226,0.454995,-0.366774
0.2268,0.45602,-0.359151
0.231,0.456957,-0.352041
0.2352,0.457809,-0.345431
0.2394,0.458584,-0.339308
0.2436,0.459287,-0.333654
0.2478,0.459922,-0.328452
